视频标题,发布时间,播放量,点赞量,收藏量,弹幕量,评论量,转发量,投币量,视频时长(s),version,version_major,version_minor
《崩坏：星穹铁道》千星纪游PV：「天干剑燥，小心火炉」,2024-07-26 12:00:00,4433927,364641,68173,13312,14066,36493,88827,620,2.4,2.0,4.0
《崩坏：星穹铁道》走近星穹——「云璃：光脚的不怕穿鞋的」,2024-07-24 12:00:00,2773629,204629,26362,16685,6068,12236,31245,478,2.4,2.0,4.0
《崩坏：星穹铁道》2.4版本「明霄竞武试锋芒」前瞻特别节目,2024-07-19 20:45:00,2757850,147950,25885,35664,9152,5649,29111,1998,2.4,2.0,4.0
《崩坏：星穹铁道》2.4版本PV：「明霄竞武试锋芒」,2024-07-19 20:00:00,3386594,158333,24137,7122,8735,11792,34711,607,2.4,2.0,4.0
《崩坏：星穹铁道》千星纪游PV：「石心誓环•天平两端」,2024-07-14 12:00:00,6399379,386981,126537,37343,16369,81583,157111,788,2.3,2.0,3.0
《崩坏：星穹铁道》翡翠角色PV——「欲望收藏」,2024-07-09 12:00:00,3446701,265202,49094,7545,7279,39773,59482,501,2.3,2.0,3.0
《崩坏：星穹铁道》走近星穹——「翡翠：升舱的钱我来出」,2024-07-03 12:00:00,2353951,182419,20715,8477,6230,12867,23792,463,2.3,2.0,3.0
《崩坏：星穹铁道》美梦谢幕PV：「塔塔洛夫向你致意」,2024-06-20 12:00:00,6770330,522161,177982,36744,18859,53145,303339,618,2.3,2.0,3.0
《崩坏：星穹铁道》走近星穹——「差分宇宙」特别节目,2024-06-19 11:00:00,3087006,224377,44223,27952,16913,18050,55215,636,2.3,2.0,3.0
《崩坏：星穹铁道》流萤角色PV——「壳中萤火」,2024-06-18 12:00:00,9597926,705783,267674,69334,48280,130284,585955,745,2.3,2.0,3.0
《崩坏：星穹铁道》动画短片：「格拉默的余烬」,2024-06-14 12:00:00,11262681,859506,351272,69677,72359,218771,736527,1459,2.3,2.0,3.0
《崩坏：星穹铁道》走近星穹——「流萤：海洋防火刻不容缓」,2024-06-12 12:00:00,5204475,353565,73969,38692,17254,27012,116206,454,2.3,2.0,3.0
《崩坏：星穹铁道》千星纪游PV：「此刻，在同一片星空下」,2024-06-11 12:00:00,5607608,479650,158086,36295,62227,100769,301555,932,2.3,2.0,3.0
《崩坏：星穹铁道》SGF参展视频——「做梦的艺术」,2024-06-08 12:00:00,3260550,243383,51572,6972,9552,23277,80334,381,2.3,2.0,3.0
《崩坏：星穹铁道》2.3版本「再见，匹诺康尼」前瞻特别节目,2024-06-07 20:45:00,3681963,186335,41441,44892,10118,8195,50123,2064,2.3,2.0,3.0
《崩坏：星穹铁道》2.3版本PV：「再见，匹诺康尼」,2024-06-07 20:00:00,4569427,209079,39899,11971,10241,19776,67535,721,2.3,2.0,3.0
《崩坏：星穹铁道》波提欧角色PV——「牛仔很忙」,2024-05-24 12:00:00,8598838,473902,138590,36167,29103,115080,200909,538,2.2,2.0,2.0
《崩坏：星穹铁道》走近星穹——「波提欧：超级无敌爱你」,2024-05-22 12:00:00,4037186,239249,44227,15514,8792,19768,36921,401,2.2,2.0,2.0
《崩坏：星穹铁道》遥远星球之歌VOL.3：我在匹诺康尼听音乐,2024-05-13 12:00:00,1896032,170511,31118,9987,5458,7297,72232,918,2.2,2.0,2.0
《崩坏：星穹铁道》EP：「希望有羽毛和翅膀」,2024-05-11 12:00:00,19475240,679077,442799,86279,22019,89932,522853,178,2.2,2.0,2.0
《崩坏：星穹铁道》EP：「使一颗心免于哀伤」,2024-05-09 12:00:00,9993197,451011,283401,16332,11104,49120,276355,207,2.2,2.0,2.0
《崩坏：星穹铁道》走近星穹——「开拓者•同谐：为了从梦中醒来的明天」,2024-05-08 20:00:00,4036035,244662,42266,10510,14219,11476,47899,294,2.2,2.0,2.0
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,2024-05-07 12:00:00,16749255,717677,361645,35567,22984,156594,419390,526,2.2,2.0,2.0
《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版,2024-05-06 12:00:00,4937893,374960,227325,101136,11616,48868,314626,7231,2.2,2.0,2.0
《崩坏：星穹铁道》千星纪游PV：「假若有一双翅膀」,2024-05-03 12:00:00,3391787,296624,70023,12679,7634,25816,102899,926,2.2,2.0,2.0
《崩坏：星穹铁道》走近星穹——「知更鸟：『人生如歌』演唱会火热预售中」,2024-05-01 12:00:00,2859673,189124,25632,11880,5124,10372,30103,412,2.2,2.0,2.0
《崩坏：星穹铁道》演唱会动画CM：「演出开始前」,2024-04-30 12:00:00,6571153,504054,172518,17584,10079,76021,215831,107,2.2,2.0,2.0
《崩坏：星穹铁道》 2.2版本「等醒来再哭泣」前瞻特别节目,2024-04-26 20:30:00,3548542,180005,46081,39781,6883,7772,48308,2104,2.2,2.0,2.0
《崩坏：星穹铁道》2.2版本PV：「等醒来再哭泣」,2024-04-26 20:00:00,5567874,230164,45226,8976,12812,25133,68862,610,2.2,2.0,2.0
《崩坏：星穹铁道》走近星穹——「砂金：硬币到底在哪只手里？」,2024-04-17 12:00:00,2514215,171269,52595,19686,8214,11315,40886,411,2.1,2.0,1.0
《崩坏：星穹铁道》砂金角色PV——「金手指」,2024-04-16 12:00:00,8213281,464565,193745,38058,29084,86250,256697,539,2.1,2.0,1.0
「决战！大宇宙开拓豪侠传」电影预告,2024-04-01 13:00:00,4956016,484188,93298,34355,20125,142182,197241,862,2.1,2.0,1.0
《崩坏：星穹铁道》走近星穹——「加拉赫：少喝饮料多喝水」,2024-03-28 12:00:00,1867610,110655,11059,3026,8108,2461,8049,244,2.1,2.0,1.0
《崩坏：星穹铁道》走近星穹——「黄泉：又一场雨，一 ㄋ 宀 匚 」,2024-03-27 12:00:00,3404294,187385,29229,10072,8665,6304,32271,409,2.1,2.0,1.0
《崩坏：星穹铁道》黄泉角色PV——「你的颜色」,2024-03-26 12:00:00,12134126,596898,235495,45931,30297,194659,396523,688,2.1,2.0,1.0
《崩坏：星穹铁道》千星纪游PV：「虚谭•浮世三千一刀缭断」,2024-03-22 12:00:00,7265484,462374,143897,56507,34508,140750,262114,974,2.1,2.0,1.0
《崩坏：星穹铁道》动画短片：「永劫轮舞」,2024-03-19 12:00:00,10278433,624109,245782,40724,34094,238977,414132,1242,2.1,2.0,1.0
《崩坏：星穹铁道》 2.1版本「狂热奔向深渊」前瞻特别节目,2024-03-16 21:45:00,3256254,185090,32859,57379,11351,7802,69194,4855,2.1,2.0,1.0
《崩坏：星穹铁道》2.1版本PV：「狂热奔向深渊」,2024-03-16 20:00:00,5262453,202508,33134,10753,9530,16496,61588,713,2.1,2.0,1.0
《崩坏：星穹铁道》走近星穹——「花火：技能解说稿（标题记得改）」,2024-02-29 12:00:00,3623049,198213,33704,12484,7792,7791,33455,435,2.0,2.0,0.0
《崩坏：星穹铁道》花火角色PV——「独角戏」,2024-02-28 12:00:00,21563004,899344,486877,72084,54591,295356,556170,501,2.0,2.0,0.0
《崩坏：星穹铁道》千星纪游PV：「《花火》：幕后纪录」,2024-02-25 12:00:00,6577234,440101,148324,24917,23516,99462,191503,678,2.0,2.0,0.0
《崩坏：星穹铁道》EP：「飞来波的圣状（下篇）」,2024-02-21 12:00:00,1924653,133146,14668,3574,3631,2951,17114,203,2.0,2.0,0.0
《崩坏：星穹铁道》EP：「飞来波的圣状（上篇）」,2024-02-16 12:00:00,2096254,169712,18375,3845,4380,4888,24016,218,2.0,2.0,0.0
《崩坏：星穹铁道》钟表小子系列动画：「欢迎来到美梦小镇！」,2024-02-13 12:00:00,3805855,355528,71451,17956,9004,51127,143967,283,2.0,2.0,0.0
《崩坏：星穹铁道》动画短片：「太平临新岁」,2024-02-08 12:00:00,3531902,377270,104597,28048,11361,40062,194203,926,2.0,2.0,0.0
《崩坏：星穹铁道》走近星穹——「米沙：您的盛会之星小帮手」,2024-02-07 18:00:00,1719561,102289,10325,7613,9308,2032,7062,347,2.0,2.0,0.0
米哈云游研发纪录片——开启无边界的游戏世界,2024-02-07 12:00:00,1320105,133160,16338,13189,7579,11476,35641,458,2.0,2.0,0.0
《崩坏：星穹铁道》走近星穹——「黑天鹅：命运啊，你往何处去？」,2024-02-06 12:00:00,2334105,135645,19974,7437,7444,9055,20256,453,2.0,2.0,0.0
《崩坏：星穹铁道》黑天鹅角色PV——「摇篮曲」,2024-02-05 12:00:00,3973375,240871,50551,11426,9792,35014,71571,484,2.0,2.0,0.0
《崩坏：星穹铁道》星穹研习会04期——「走近梦境」,2024-02-03 12:00:00,1689042,152568,16377,10005,3758,7677,27659,847,2.0,2.0,0.0
《崩坏：星穹铁道》千星纪游PV：「旧梦重温」,2024-02-01 12:00:00,3179835,229492,33909,8581,7558,22949,50932,630,2.0,2.0,0.0
紧急爆料！匹诺康尼幕后秘闻大公开！,2024-01-30 12:00:00,3964582,359204,65553,46011,9344,45852,143490,888,2.0,2.0,0.0
《崩坏：星穹铁道》「不眠之夜」舞蹈MV,2024-01-28 12:00:00,4519214,389210,73482,8156,6347,32901,96022,135,2.0,2.0,0.0
开云！星穹铁道,2024-01-27 18:00:00,1165671,107726,7649,2031,2686,6874,8250,189,2.0,2.0,0.0
《崩坏：星穹铁道》 2.0版本「假如在午夜入梦」前瞻特别节目,2024-01-26 20:45:00,4417357,213946,38201,60421,12849,13080,66455,3200,2.0,2.0,0.0
《崩坏：星穹铁道》OP：「不眠之夜」,2024-01-26 20:00:00,49717734,1759551,1024185,105498,108267,519468,1443185,200,2.0,2.0,0.0
《崩坏：星穹铁道》美梦预告PV：「了不起的塔塔洛夫」,2024-01-24 12:00:00,4732347,312131,50526,13199,10560,62447,73524,375,1.6,1.0,6.0
《崩坏：星穹铁道》匹诺康尼旅游宣传动画：「滴答！一起来梦游吧！」,2024-01-21 12:00:00,4425018,351846,51107,23221,13951,73966,100318,834,1.6,1.0,6.0
《崩坏：星穹铁道》千星纪游PV：「永火一夜：第33场」,2024-01-19 12:00:00,6747697,341265,63018,25026,35652,95637,93939,751,1.6,1.0,6.0
《崩坏：星穹铁道》走近星穹——「真理医生：我有知识我自豪」,2024-01-17 12:00:00,2101107,140177,19259,7717,3546,4103,18847,360,1.6,1.0,6.0
《崩坏：星穹铁道》真理医生角色PV——「愚不可及」,2024-01-12 12:00:00,5760480,330923,81914,26154,12496,51163,108117,443,1.6,1.0,6.0
《崩坏：星穹铁道》走近星穹——「雪衣：偃偶少女会不会受伤」,2023-12-29 12:00:00,1422366,97511,8708,2297,3524,2344,8877,238,1.6,1.0,6.0
《崩坏：星穹铁道》走近星穹——「模拟宇宙：黄金与机械」特别节目,2023-12-28 12:00:00,1514330,106100,10121,4102,4185,2663,12633,487,1.6,1.0,6.0
《崩坏：星穹铁道》走近星穹——「阮•梅：玩模拟宇宙就是要吃阮饭」,2023-12-27 12:00:00,1926605,134786,15620,6735,6793,4504,21651,374,1.6,1.0,6.0
《崩坏：星穹铁道》阮•梅角色PV——「万物生」,2023-12-26 12:00:00,4509548,295193,63861,12226,9646,40013,107826,446,1.6,1.0,6.0
《崩坏：星穹铁道》千星纪游PV：「阮声落华裳，梅出似点妆」,2023-12-22 12:00:00,5259398,394738,100435,23153,18553,83315,198593,754,1.6,1.0,6.0
《崩坏：星穹铁道》1.6版本「庸与神的冠冕」前瞻特别节目,2023-12-15 20:45:00,4450250,238544,44799,87933,15984,14745,96676,2234,1.6,1.0,6.0
《崩坏：星穹铁道》1.6版本PV：「庸与神的冠冕」,2023-12-15 20:00:00,3837533,185224,22311,14009,11328,7955,49695,678,1.6,1.0,6.0
《崩坏：星穹铁道》TGA参选视频：「常看常新的故事」,2023-12-08 12:00:00,3327479,242809,34659,9935,11229,38702,62184,398,1.5,1.0,5.0
《崩坏：星穹铁道》走近星穹——「寒鸦：杜绝加班，远离魔阴」,2023-12-07 12:00:00,1380698,101213,9161,2074,2183,2053,8688,303,1.5,1.0,5.0
《崩坏：星穹铁道》走近星穹——「银枝：花瓣去哪儿了？」,2023-12-06 12:00:00,1534792,101659,10355,4461,4478,2832,10964,302,1.5,1.0,5.0
《崩坏：星穹铁道》银枝角色PV——「骑士文学」,2023-12-01 12:00:00,5659034,304537,63431,14103,15604,69614,80975,490,1.5,1.0,5.0
《崩坏：星穹铁道》走近星穹——「藿藿：战胜恐惧的唯一办法…逃跑！」,2023-11-15 12:00:00,2172261,131244,20412,6314,4614,6545,16889,357,1.5,1.0,5.0
《崩坏：星穹铁道》藿藿角色PV——「回魂夜」,2023-11-14 12:00:00,7710475,351462,102344,14705,13010,76142,124923,500,1.5,1.0,5.0
《崩坏：星穹铁道》千星纪游PV：「绥园伏鬼记」,2023-11-10 12:00:00,5501361,326695,75400,8380,7534,58945,97195,516,1.5,1.0,5.0
《崩坏：星穹铁道》走近星穹——「桂乃芬：锣鼓一响，好戏开场！」,2023-11-05 12:00:00,1713925,127205,10652,3863,2761,4395,14199,247,1.5,1.0,5.0
《崩坏：星穹铁道》 1.5版本「迷离幻夜谈」前瞻特别节目,2023-11-03 20:45:00,2200569,129485,16982,28117,4421,4924,27012,1931,1.5,1.0,5.0
《崩坏：星穹铁道》1.5版本PV：「迷离幻夜谈」,2023-11-03 20:00:00,3027651,149714,19548,4756,4023,9425,27962,686,1.5,1.0,5.0
《崩坏：星穹铁道》走近星穹——「托帕&账账：债务优化，迎面变局」,2023-10-27 12:00:00,1983598,130293,14929,4673,5270,4798,18299,419,1.4,1.0,4.0
《崩坏：星穹铁道》托帕&账账角色PV——「专家教学」,2023-10-26 12:00:00,5063341,280396,59599,14632,9419,32865,77477,470,1.4,1.0,4.0
崩跑吧，开拓者！,2023-10-25 18:00:00,1359116,115837,9056,2712,2842,15222,10510,240,1.4,1.0,4.0
《崩坏：星穹铁道》千星纪游PV：「星际和平导览：甄选、规划和机遇」,2023-10-22 12:00:00,4130115,273306,44701,14419,11250,37748,65068,730,1.4,1.0,4.0
《崩坏：星穹铁道》走近星穹——「镜流：名师出高徒」,2023-10-11 12:00:00,2327483,136300,20492,8426,6280,3958,23024,363,1.4,1.0,4.0
《崩坏：星穹铁道》镜流角色PV——「剑出无回」,2023-10-10 12:00:00,7851041,381745,111507,26826,17195,98456,193753,448,1.4,1.0,4.0
《崩坏：星穹铁道》现实邀约PV：「一起出去玩嘛！」,2023-10-08 12:00:00,2916339,294789,74027,6487,7121,40639,89880,102,1.4,1.0,4.0
《崩坏：星穹铁道》千星纪游PV：「云骑武经•说剑」,2023-10-06 12:00:00,5523924,360791,87081,23102,11682,69717,145736,588,1.4,1.0,4.0
《崩坏：星穹铁道》1.4版本「冬梦激醒」前瞻特别节目,2023-09-29 20:45:00,3207057,220953,44882,52114,8862,11691,85601,2462,1.4,1.0,4.0
《崩坏：星穹铁道》1.4版本PV：「冬梦激醒」,2023-09-29 20:00:00,3058935,158404,17482,5716,5468,9357,27019,712,1.4,1.0,4.0
《崩坏：星穹铁道》星穹研习会03期——「预测未来」,2023-09-24 12:00:00,1159275,110696,11932,8030,3318,4891,23984,770,1.3,1.0,3.0
《崩坏：星穹铁道》TGS参展视频：「掌中宇宙」,2023-09-22 19:00:00,1493403,129545,12635,2621,4599,8751,15013,109,1.3,1.0,3.0
《崩坏：星穹铁道》走近星穹——「玲可：大的药来了！」,2023-09-21 12:00:00,1350021,101161,7600,2825,3575,2926,8696,243,1.3,1.0,3.0
星穹铁道教你0基础做美食,2023-09-20 18:00:00,3558031,348544,47797,18355,8847,109723,53338,106,1.3,1.0,3.0
《崩坏：星穹铁道》走近星穹——「符玄：世纪难题之下任将军究竟何时赴任？」,2023-09-20 12:00:00,2332888,143827,20447,10353,8936,5168,26997,374,1.3,1.0,3.0
《崩坏：星穹铁道》符玄角色PV——「法眼无遗」,2023-09-15 12:00:00,6488548,369174,82492,25552,14790,70445,146655,460,1.3,1.0,3.0
《崩坏：星穹铁道》走近星穹——「模拟宇宙：寰宇蝗灾」特别节目,2023-09-06 14:00:00,2046953,147656,15563,7965,12690,5460,22392,538,1.3,1.0,3.0
《崩坏：星穹铁道》走近星穹——「丹恒•饮月：神秘男子的隐藏实力」,2023-08-30 12:00:00,2051858,149044,20636,8554,8315,5850,21958,348,1.3,1.0,3.0
《崩坏：星穹铁道》动画短片：「玄黄」,2023-08-29 12:00:00,7408532,593228,213829,38438,28596,142293,347236,1381,1.3,1.0,3.0
《崩坏：星穹铁道》千星纪游PV：「仙舟通鉴•五龙远徙」,2023-08-27 12:00:00,4492622,344964,80013,15147,16557,55061,125131,741,1.3,1.0,3.0
《崩坏：星穹铁道》丹恒•饮月角色PV——「归去来」,2023-08-25 12:00:00,6667377,401238,108664,25473,21107,103052,154720,433,1.3,1.0,3.0
《崩坏：星穹铁道》Gamescom参展视频：「神策府总司一切大小事务将军」,2023-08-23 10:00:00,2149414,196584,24868,5501,6713,16575,31204,116,1.3,1.0,3.0
《崩坏：星穹铁道》1.3版本「天镜映劫尘」前瞻特别节目,2023-08-18 20:45:00,2574727,153739,21747,35465,8178,6257,26992,1689,1.3,1.0,3.0
《崩坏：星穹铁道》1.3版本PV：「天镜映劫尘」,2023-08-18 20:00:00,3744914,186588,23560,8055,8434,12423,38073,680,1.3,1.0,3.0
《崩坏：星穹铁道》千星纪游PV：「耶佩拉叛乱：第47场」,2023-08-13 12:00:00,5802327,415509,96265,26296,22237,84404,162251,730,1.2,1.0,2.0
《崩坏：星穹铁道》走近星穹——「卢卡：义肢打拳是否犯规？」,2023-08-10 12:00:00,1090306,99313,6119,3273,3378,2007,6822,302,1.2,1.0,2.0
《崩坏：星穹铁道》走近星穹——「卡芙卡：西装丽人的另一面」,2023-08-09 12:00:00,2591929,176547,24358,10263,10039,5950,30343,272,1.2,1.0,2.0
《崩坏：星穹铁道》卡芙卡角色PV——「戏剧性反讽」,2023-08-08 12:00:00,15475940,818357,318128,64004,37799,271036,512991,491,1.2,1.0,2.0
《崩坏：星穹铁道》遥远星球之歌VOL.2：仙舟的音乐戏法,2023-07-23 12:00:00,1963679,218005,32978,8181,6919,10851,74895,716,1.2,1.0,2.0
《崩坏：星穹铁道》EP：「水龙吟」,2023-07-20 12:00:00,17260599,869215,403313,47661,30778,183225,537450,192,1.2,1.0,2.0
《崩坏：星穹铁道》走近星穹——「刃：永生者的美景」,2023-07-19 12:00:00,2468180,157508,20238,5355,7349,4310,20658,279,1.2,1.0,2.0
《崩坏：星穹铁道》刃角色PV——「死兆将至」,2023-07-14 12:00:00,17000245,754125,271438,47973,146234,301236,405537,473,1.2,1.0,2.0
《崩坏：星穹铁道》1.2版本「仙骸有终」前瞻特别节目,2023-07-08 20:45:00,2981756,175616,26743,44892,7283,8259,33132,1748,1.2,1.0,2.0
《崩坏：星穹铁道》1.2版本PV：「仙骸有终」,2023-07-08 19:45:00,6411699,263807,38384,11436,10182,27481,53960,797,1.2,1.0,2.0
《崩坏：星穹铁道》走近星穹——「驭空：罗浮司舵竟曾是飙车族」,2023-06-29 12:00:00,1364965,104853,7289,1764,3356,1576,9157,196,1.1,1.0,1.0
《崩坏：星穹铁道》走近星穹——「罗刹：棺材中的隐秘」,2023-06-28 12:00:00,2016817,141580,13936,6822,10243,5580,21001,291,1.1,1.0,1.0
《崩坏：星穹铁道》罗刹角色PV——「行者明誓」,2023-06-23 12:00:00,5490398,342870,59726,18598,24650,69608,97538,446,1.1,1.0,1.0
《崩坏：星穹铁道》SGF参展视频：「宇宙游戏」,2023-06-09 12:00:00,1746223,143693,14665,1922,4423,3854,17918,104,1.1,1.0,1.0
《崩坏：星穹铁道》走近星穹——「银狼：宇宙第一天才骇客！」,2023-06-07 12:00:00,2638861,167642,24154,5728,8854,4749,26760,271,1.1,1.0,1.0
《崩坏：星穹铁道》银狼角色PV——「有点意思」,2023-06-02 12:00:00,8199857,449845,114759,28328,21125,82000,149353,412,1.1,1.0,1.0
《崩坏：星穹铁道》1.1版本PV：「银河漫游」,2023-05-27 12:00:00,5217608,202178,26409,5013,11220,10568,34710,687,1.1,1.0,1.0
《崩坏：星穹铁道》1.1版本「银河漫游」前瞻特别节目,2023-05-26 20:45:00,3152335,186302,27030,31166,15204,11607,37057,1793,1.0,1.0,0.0
《崩坏：星穹铁道》走近星穹——「景元：闭目将军睁眼的真相」,2023-05-17 18:00:00,2435740,156789,19087,6778,14231,6030,25113,325,1.0,1.0,0.0
《崩坏：星穹铁道》景元角色PV——「天地为枰」,2023-05-13 12:00:00,10057795,499977,128630,31987,28683,161154,203868,495,1.0,1.0,0.0
《崩坏：星穹铁道》动画短片：「飞光」,2023-05-10 12:00:00,10825280,665566,213847,33720,34733,233713,372319,1089,1.0,1.0,0.0
《崩坏：星穹铁道》千星纪游PV：「仙舟通鉴•帝弓七天将」,2023-05-07 12:00:00,7346703,399822,80963,38954,20384,79109,130913,983,1.0,1.0,0.0
《崩坏：星穹铁道》列车环游记 • 黟县站,2023-05-06 12:00:00,1021259,95220,8753,3034,3260,5121,13426,348,1.0,1.0,0.0
《崩坏：星穹铁道》星穹研习会02期——「畅想银河」,2023-05-05 18:00:00,1141099,125584,19836,4994,6171,13184,55280,657,1.0,1.0,0.0
《崩坏：星穹铁道》千星纪游PV：「有关星空的寓言集•其一」,2023-05-03 12:00:00,9726712,446313,123484,40434,31119,84131,159186,951,1.0,1.0,0.0
《崩坏：星穹铁道》遥远星球之歌VOL.1：雅利洛-Ⅵ,2023-05-02 12:00:00,1372561,123959,16338,5206,5374,5215,35064,978,1.0,1.0,0.0
《崩坏：星穹铁道》走近星穹——「瓦尔特：重返一线育新苗」,2023-05-01 12:00:00,3704413,171254,16571,4283,9545,4785,14364,207,1.0,1.0,0.0
《崩坏：星穹铁道》启程庆典,2023-04-30 20:00:00,3608356,254317,76105,16165,12161,21580,127844,2097,1.0,1.0,0.0
《崩坏：星穹铁道》走近星穹——「克拉拉：警惕人工智能」,2023-04-30 12:00:00,2970868,168888,17307,4356,8410,8184,18010,235,1.0,1.0,0.0
《崩坏：星穹铁道》走近星穹——「布洛妮娅：下任大守护者不能说的秘密」,2023-04-29 12:00:00,2095642,128012,13618,2856,4465,4564,16506,199,1.0,1.0,0.0
《崩坏：星穹铁道》走近星穹——「希儿：离奇消失的地火奇人」,2023-04-27 12:00:00,2122352,129390,14787,4067,6092,5907,21745,273,1.0,1.0,0.0
《崩坏：星穹铁道》OP：「星间旅行」,2023-04-25 12:00:00,20104884,757337,326463,26377,46142,147881,422985,206,1.0,1.0,0.0
《崩坏：星穹铁道》开服寄语「CV篇」,2023-04-24 12:00:00,2059708,157152,44404,28225,6622,11248,38389,682,1.0,1.0,0.0
《崩坏：星穹铁道》希儿角色PV——「一夜无事」,2023-04-23 10:00:00,11114928,362017,64941,6739,13081,38867,82577,360,1.0,1.0,0.0
直面危机，星穹铁道做了一个艰难的决定,2023-04-20 12:00:00,3189259,236691,35869,24058,8998,47829,73578,483,1.0,1.0,0.0
《崩坏：星穹铁道》星穹研习会01期——「走出家园」,2023-04-18 12:00:00,1531148,155154,26019,10188,5810,18337,58326,652,1.0,1.0,0.0
《崩坏：星穹铁道》杰帕德角色PV——「以朗道之名」,2023-04-17 12:00:00,2542185,127801,19570,2798,3932,11457,19199,352,1.0,1.0,0.0
《崩坏：星穹铁道》姬子角色PV——「追星星的人」,2023-04-10 12:00:00,5049554,286268,59401,5850,10977,43597,99812,339,1.0,1.0,0.0
《崩坏：星穹铁道》前瞻特别节目,2023-03-24 22:50:17,2750241,180128,25974,32362,12435,19068,42627,2893,1.0,1.0,0.0
来，快上车！,2023-03-24 21:00:00,1327593,116355,13829,3145,9648,25221,21920,199,1.0,1.0,0.0
《崩坏：星穹铁道》彦卿角色PV——「锋寒砺淬」,2023-02-17 12:00:00,5166907,340788,51572,5218,7661,46657,47143,293,0.5,0.0,5.0
《崩坏：星穹铁道》白露角色PV——「天干物燥」,2023-02-10 10:00:00,7755418,487819,77003,6637,9250,99787,76041,382,0.5,0.0,5.0
《崩坏：星穹铁道》跃迁PV：「太空喜剧」,2023-01-24 10:00:00,12524019,572343,137990,23838,22708,128611,165002,450,0.5,0.0,5.0
《崩坏：星穹铁道》剧情PV：「见证者」,2022-09-17 18:15:00,3479754,189875,26780,5077,7768,20514,32186,557,0.5,0.0,5.0
《崩坏：星穹铁道》剧情PV：「梦魇」,2022-08-24 10:00:00,3972266,184541,33493,3609,5334,28071,28963,295,0.5,0.0,5.0
《崩坏：星穹铁道》EP ：「雪融于烬」,2022-08-18 12:00:00,2033439,163818,15328,2574,3908,5903,16825,170,0.5,0.0,5.0
《崩坏：星穹铁道》EP：「失控」,2022-07-22 12:00:00,6118963,457351,50270,10957,9550,17177,50659,183,0.5,0.0,5.0
《崩坏：星穹铁道》SGF参展视频：「致将启程的你」,2022-06-10 10:00:00,2201405,139176,20100,2660,6713,14892,33820,401,0.5,0.0,5.0
《崩坏：星穹铁道》希露瓦角色PV——「引爆在即！」,2022-05-27 12:00:39,4790359,257307,66407,6068,11235,59783,99514,296,0.5,0.0,5.0
《崩坏：星穹铁道》开场动画：「一幕短剧」,2022-05-25 10:00:00,2375840,128623,21082,2342,5399,13969,30985,275,0.5,0.0,5.0
《崩坏：星穹铁道》漫游PV：「你」的选择,2022-04-28 12:00:00,4969633,260685,44583,9925,18938,49137,80903,561,0.5,0.0,5.0
《崩坏：星穹铁道》三月七角色PV——「来，拍照啦！」,2022-04-21 12:00:00,6901852,403374,94900,18806,30430,100533,156654,446,0.5,0.0,5.0
《崩坏：星穹铁道》始发PV：下一站，银河！,2021-10-08 10:00:16,8542328,472093,69997,24677,27096,61566,113750,118,0.5,0.0,5.0
